seqnames	start	end	width	strand	overlap_count
chr16	23849581	23850080	500	*	31
chr16	23850081	23850580	500	*	12
chr16	23850581	23851080	500	*	13
chr16	23851081	23851580	500	*	18
chr16	23851581	23852080	500	*	28
chr16	23852081	23852580	500	*	14
chr16	23852581	23853080	500	*	34
chr16	23853081	23853580	500	*	42
chr16	23853581	23854080	500	*	13
chr16	23854081	23854580	500	*	27
chr16	23854581	23855080	500	*	5
chr16	23855081	23855580	500	*	13
chr16	23855581	23856080	500	*	17
chr16	23856081	23856580	500	*	13
chr16	23856581	23857080	500	*	13
chr16	23857081	23857580	500	*	4
chr16	23857581	23858080	500	*	16
chr16	23858081	23858580	500	*	23
chr16	23858581	23859080	500	*	11
chr16	23859081	23859580	500	*	6
chr16	23859581	23860080	500	*	10
chr16	23860081	23860580	500	*	17
chr16	23860581	23861080	500	*	43
chr16	23861081	23861580	500	*	43
chr16	23861581	23862080	500	*	8
chr16	23862081	23862580	500	*	17
chr16	23862581	23863080	500	*	19
chr16	23863081	23863580	500	*	12
chr16	23863581	23864080	500	*	12
chr16	23864081	23864580	500	*	21
chr16	23864581	23865080	500	*	43
chr16	23865081	23865580	500	*	20
chr16	23865581	23866080	500	*	26
chr16	23866081	23866580	500	*	12
chr16	23866581	23867080	500	*	11
chr16	23867081	23867580	500	*	13
chr16	23867581	23868080	500	*	27
chr16	23868081	23868580	500	*	10
chr16	23868581	23869080	500	*	20
chr16	23869081	23869580	500	*	15
chr16	23869581	23870080	500	*	16
chr16	23870081	23870580	500	*	22
chr16	23870581	23871080	500	*	32
chr16	23871081	23871580	500	*	16
chr16	23871581	23872080	500	*	29
chr16	23872081	23872580	500	*	40
chr16	23872581	23873080	500	*	26
chr16	23873081	23873580	500	*	12
chr16	23873581	23874080	500	*	22
chr16	23874081	23874580	500	*	26
chr16	23874581	23875080	500	*	21
chr16	23875081	23875580	500	*	35
chr16	23875581	23876080	500	*	11
chr16	23876081	23876580	500	*	26
chr16	23876581	23877080	500	*	28
chr16	23877081	23877580	500	*	34
chr16	23877581	23878080	500	*	37
chr16	23878081	23878580	500	*	16
chr16	23878581	23879080	500	*	26
chr16	23879081	23879580	500	*	22
chr16	23879581	23880080	500	*	40
chr16	23880081	23880580	500	*	23
chr16	23880581	23881080	500	*	15
chr16	23881081	23881580	500	*	20
chr16	23881581	23882080	500	*	13
chr16	23882081	23882580	500	*	18
chr16	23882581	23883080	500	*	14
chr16	23883081	23883580	500	*	33
chr16	23883581	23884080	500	*	58
chr16	23884081	23884580	500	*	33
chr16	23884581	23885080	500	*	29
chr16	23885081	23885580	500	*	19
chr16	23885581	23886080	500	*	10
chr16	23886081	23886580	500	*	33
chr16	23886581	23887080	500	*	20
chr16	23887081	23887580	500	*	40
chr16	23887581	23888080	500	*	14
chr16	23888081	23888580	500	*	16
chr16	23888581	23889080	500	*	15
chr16	23889081	23889580	500	*	26
chr16	23889581	23890080	500	*	17
chr16	23890081	23890580	500	*	16
chr16	23890581	23890844	264	*	9
